coverage;latitude;longitude;timeline;blue;red;evi;nir;ndvi
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-02-02T00:00:00;1182.0;1464.0;4071.0;3979.0;4620.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-02-18T00:00:00;57.0;161.0;6071.0;3593.0;9142.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-03-06T00:00:00;137.0;254.0;4835.0;2832.0;8353.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-03-22T00:00:00;923.0;1027.0;4373.0;3583.0;5544.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-04-07T00:00:00;108.0;209.0;5392.0;3139.0;8751.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-04-23T00:00:00;93.0;183.0;4820.0;2711.0;8735.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-05-09T00:00:00;105.0;187.0;5281.0;3005.0;8828.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-05-25T00:00:00;111.0;221.0;4683.0;2691.0;8482.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-06-10T00:00:00;180.0;319.0;4453.0;2678.0;7871.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-06-26T00:00:00;121.0;219.0;4615.0;2625.0;8459.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-07-12T00:00:00;107.0;217.0;4762.0;2739.0;8531.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-07-28T00:00:00;109.0;208.0;4847.0;2767.0;8601.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-08-13T00:00:00;134.0;264.0;5269.0;3160.0;8457.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-08-29T00:00:00;133.0;264.0;5586.0;3386.0;8553.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-09-14T00:00:00;121.0;256.0;5887.0;3609.0;8675.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-09-30T00:00:00;117.0;291.0;5703.0;3589.0;8500.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-10-16T00:00:00;151.0;229.0;5009.0;2853.0;8513.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-11-01T00:00:00;1092.0;624.0;2604.0;1932.0;5117.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-11-17T00:00:00;30.0;172.0;4140.0;2351.0;8636.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-12-03T00:00:00;2637.0;2862.0;2621.0;4704.0;2434.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2009-12-19T00:00:00;2897.0;2841.0;1938.0;4159.0;1882.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2010-01-01T00:00:00;297.0;367.0;5728.0;3441.0;8072.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2010-01-17T00:00:00;136.0;258.0;5333.0;3183.0;8500.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2010-02-02T00:00:00;163.0;277.0;3256.0;1882.0;7433.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2010-02-18T00:00:00;199.0;505.0;5338.0;3775.0;7640.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2010-03-06T00:00:00;105.0;212.0;3738.0;2093.0;8160.0
