coverage;latitude;longitude;timeline;blue;evi;ndvi;red;nir
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2009-11-01T00:00:00;138.0;5362.0;8642.0;224.0;3077.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2009-11-17T00:00:00;209.0;5198.0;8122.0;323.0;3118.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2009-12-03T00:00:00;136.0;5096.0;8404.0;263.0;3034.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2009-12-19T00:00:00;647.0;3770.0;4730.0;1233.0;3447.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-01-01T00:00:00;1218.0;5406.0;5796.0;1251.0;4701.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-01-17T00:00:00;112.0;4016.0;8502.0;175.0;2163.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-02-02T00:00:00;255.0;6715.0;8191.0;458.0;4606.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-02-18T00:00:00;301.0;5725.0;7385.0;644.0;4283.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-03-06T00:00:00;267.0;6427.0;8084.0;460.0;4342.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-03-22T00:00:00;426.0;6562.0;8257.0;406.0;4254.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-04-07T00:00:00;187.0;5120.0;8090.0;332.0;3145.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-04-23T00:00:00;215.0;5084.0;7808.0;401.0;3259.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-05-09T00:00:00;175.0;4051.0;7072.0;483.0;2817.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-05-25T00:00:00;154.0;5257.0;8456.0;259.0;3097.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-06-10T00:00:00;163.0;5231.0;8448.0;257.0;3056.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-06-26T00:00:00;185.0;4785.0;7731.0;395.0;3088.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-07-12T00:00:00;189.0;5107.0;8112.0;324.0;3110.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-07-28T00:00:00;204.0;5304.0;8345.0;278.0;3083.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-08-13T00:00:00;245.0;4905.0;7721.0;393.0;3057.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-08-29T00:00:00;422.0;3366.0;5479.0;797.0;2729.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-09-14T00:00:00;347.0;3482.0;5531.0;892.0;3100.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-09-30T00:00:00;221.0;4019.0;6734.0;574.0;2942.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-10-16T00:00:00;359.0;7446.0;8181.0;514.0;5140.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-11-01T00:00:00;2874.0;1823.0;1670.0;3228.0;4523.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-11-17T00:00:00;272.0;6387.0;7135.0;799.0;4779.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2010-12-03T00:00:00;711.0;4273.0;6381.0;662.0;2997.0
