"id","longitude","latitude","start_date","end_date","label"
1,-65.1688254822207,-10.3542211668871,"2018-07-12","2019-07-28","Deforestation"
2,-65.1386097072679,-10.0257826187054,"2018-07-12","2019-07-28","Deforestation"
3,-65.0232770088181,-10.1762851670863,"2018-07-12","2019-07-28","Deforestation"
4,-64.8603725790271,-10.0118196184062,"2018-07-12","2019-07-28","Forest"
5,-65.0869520111691,-10.0901970688504,"2018-07-12","2019-07-28","Deforestation"
6,-65.5103448811131,-9.98911208604381,"2018-07-12","2019-07-28","Forest"
7,-65.0831894136473,-10.0582232007281,"2018-07-12","2019-07-28","Deforestation"
8,-65.1088732001837,-10.0948481830536,"2018-07-12","2019-07-28","Forest"
9,-64.898752513797,-10.3181420669329,"2018-07-12","2019-07-28","Deforestation"
10,-64.8725129810854,-9.9977394389361,"2018-07-12","2019-07-28","Forest"
11,-65.0196800449811,-10.4140361649365,"2018-07-12","2019-07-28","Deforestation"
12,-65.1728293097565,-9.94683563762032,"2018-07-12","2019-07-28","Deforestation"
13,-65.589202117613,-10.5612824981531,"2018-07-12","2019-07-28","Forest"
14,-65.7370696754304,-10.3039938119349,"2018-07-12","2019-07-28","Forest"
15,-65.0303066104033,-10.4052914861581,"2018-07-12","2019-07-28","Deforestation"
16,-64.8680836343259,-10.4112505745829,"2018-07-12","2019-07-28","Deforestation"
17,-65.1797589722871,-10.8671493733096,"2018-07-12","2019-07-28","Deforestation"
18,-65.3084321421078,-10.0560957893633,"2018-07-12","2019-07-28","Deforestation"
19,-65.2172117126747,-10.1054351123567,"2018-07-12","2019-07-28","Forest"
20,-65.0155785012876,-10.0684947603441,"2018-07-12","2019-07-28","Deforestation"
21,-65.2466696595894,-9.99949120789612,"2018-07-12","2019-07-28","Forest"
22,-65.1913763690138,-10.3020989559204,"2018-07-12","2019-07-28","Forest"
23,-65.1830208007654,-10.0395933005471,"2018-07-12","2019-07-28","Deforestation"
24,-65.1606291067729,-10.0184092164819,"2018-07-12","2019-07-28","Deforestation"
25,-64.886059375808,-9.97461108670382,"2018-07-12","2019-07-28","Deforestation"
26,-64.8134748255131,-10.2358244535401,"2018-07-12","2019-07-28","Forest"
27,-64.7430834609711,-10.2817731772553,"2018-07-12","2019-07-28","Deforestation"
28,-64.8444873543027,-9.99283345738953,"2018-07-12","2019-07-28","Deforestation"
29,-64.7415485993072,-10.3181241295872,"2018-07-12","2019-07-28","Forest"
30,-65.0747818881532,-10.8132832055597,"2018-07-12","2019-07-28","Deforestation"
31,-65.332272309006,-10.6299797323793,"2018-07-12","2019-07-28","Deforestation"
32,-65.0105825839281,-9.98310385182179,"2018-07-12","2019-07-28","Deforestation"
33,-65.4933286833508,-10.6307293806163,"2018-07-12","2019-07-28","Forest"
34,-65.13488816483,-10.0284277790813,"2018-07-12","2019-07-28","Deforestation"
35,-65.1460141918651,-10.3153281451075,"2018-07-12","2019-07-28","Forest"
36,-65.4275420334673,-10.4656035490877,"2018-07-12","2019-07-28","Forest"
37,-65.0102821470397,-9.96385191049952,"2018-07-12","2019-07-28","Deforestation"
38,-64.7533753569753,-10.3271005401692,"2018-07-12","2019-07-28","Deforestation"
39,-64.8209438891294,-9.95743479686112,"2018-07-12","2019-07-28","Deforestation"
40,-64.9162534229767,-10.6113724319592,"2018-07-12","2019-07-28","Deforestation"
41,-65.6180653387688,-10.4428611284072,"2018-07-12","2019-07-28","Forest"
42,-64.8770857735187,-10.6911577183615,"2018-07-12","2019-07-28","Deforestation"
43,-65.6438076418711,-10.3344963785643,"2018-07-12","2019-07-28","Forest"
44,-65.0118989749827,-10.0781891893107,"2018-07-12","2019-07-28","Deforestation"
45,-65.4681221281772,-10.2141677524089,"2018-07-12","2019-07-28","Deforestation"
46,-65.5657300469867,-10.1572107075617,"2018-07-12","2019-07-28","Forest"
47,-64.9698771650024,-10.3348908042856,"2018-07-12","2019-07-28","Deforestation"
48,-65.582903415679,-10.7779170337522,"2018-07-12","2019-07-28","Forest"
49,-64.7461990206336,-10.4323698395129,"2018-07-12","2019-07-28","Deforestation"
50,-65.7356973871086,-10.3035536954149,"2018-07-12","2019-07-28","Forest"
